rhit_rate,files,commits,hits
0.0,759414,2990347,225
0.01,801,83338,932
0.02,2857,187427,3649
0.03,4405,251279,7596
0.04,5539,283815,11351
0.05,6163,294290,14669
0.06,7502,292031,17460
0.07,7209,248988,17350
0.08,8770,230763,18441
0.09,6719,179608,16149
0.1,7719,176785,17602
0.11,9127,182715,20083
0.12,3156,116403,13852
0.13,12628,220837,28276
0.14,12795,181153,25577
0.15,4105,119014,17944
0.16,2045,166034,26217
0.17,15200,252077,42679
0.18,4624,105280,18941
0.19,2559,79803,15113
0.2,23995,187626,37518
0.21,2867,75758,15978
0.22,4623,87472,19341
0.23,2139,60458,13870
0.24,1530,49339,11787
0.25,32848,194384,48599
0.26,910,31781,8280
0.27,2457,48770,13180
0.28,774,26455,7378
0.29,6230,73151,21033
0.3,2087,36112,10842
0.31,1501,31827,9850
0.32,621,19981,6378
0.33,31033,155492,51803
0.34,163,9207,3137
0.35,655,18534,6491
0.36,1474,25274,9121
0.37,284,10203,3764
0.38,2771,35204,13302
0.39,310,9599,3746
0.4,6580,45222,18091
0.41,307,9015,3696
0.42,629,12487,5228
0.43,2179,21599,9266
0.44,1678,21133,9360
0.45,493,8838,3999
0.46,334,5925,2731
0.47,356,8747,4108
0.48,152,4565,2190
0.49,23,1204,590
0.5,48029,142667,71333
0.51,20,1127,576
0.52,96,2851,1482
0.53,231,4645,2464
0.54,217,3805,2050
0.55,274,4269,2336
0.56,502,6231,3472
0.57,1075,8828,5042
0.58,200,3265,1898
0.59,69,1706,1006
0.6,2213,13733,8239
0.61,53,1308,797
0.62,105,2243,1385
0.63,427,4406,2758
0.64,195,3009,1925
0.65,46,1078,700
0.66,13,464,305
0.67,13006,48158,32106
0.68,31,786,535
0.69,63,1075,742
0.7,182,2019,1413
0.71,440,3690,2633
0.72,16,417,301
0.73,102,1362,993
0.74,16,308,227
0.75,2170,9984,7488
0.76,10,262,199
0.77,24,339,261
0.78,86,1080,841
0.79,22,440,347
0.8,2235,11635,9308
0.81,13,279,226
0.82,31,422,346
0.83,302,2030,1691
0.84,1,25,21
0.85,11,164,139
0.86,124,975,836
0.87,2,30,26
0.88,69,638,559
0.89,39,389,346
0.9,15,170,153
0.91,9,99,90
0.92,11,137,126
0.93,2,30,28
0.94,3,49,46
0.95,4,81,77
0.96,3,70,67
0.97,1,30,29
1.0,39982,59981,59981
